geonameid	name	latitude	longitude	cc	timezone
2239520	Mbanza Kongo	-6.26667	14.23833	AO	Africa/Luanda
2239732	Maquela do Zombo	-6.05716	15.10971	AO	Africa/Luanda
2239862	Malanje	-9.54015	16.34096	AO	Africa/Luanda
2240393	Lucala	-9.27268	15.25206	AO	Africa/Luanda
2240416	Lubalo	-9.15445	19.28136	AO	Africa/Luanda
2240449	Luanda	-8.83682	13.23432	AO	Africa/Luanda
2240686	Cunda dia Baze	-8.90769	17.05339	AO	Africa/Luanda
2240975	Golungo Alto	-9.13333	14.76667	AO	Africa/Luanda
2241371	Dondo	-9.68456	14.42788	AO	Africa/Luanda
2241372	Dondo	-9.05	15.31667	AO	Africa/Luanda
2241623	Cuimba	-6.12085	14.62086	AO	Africa/Luanda
2241635	Cuilo	-8.23619	19.52566	AO	Africa/Luanda
2241668	Cuango-Luzamba	-9.14583	18.04453	AO	Africa/Luanda
2241954	Cazombo	-8.73204	15.37124	AO	Africa/Luanda
2242001	Caxito	-8.57848	13.66425	AO	Africa/Luanda
2242584	Cangandala	-9.78333	16.43333	AO	Africa/Luanda
2242885	Camabatela	-8.18812	15.37495	AO	Africa/Luanda
2243127	Cacuso	-9.42102	15.74668	AO	Africa/Luanda
2243271	Cabinda	-5.56717	12.19787	AO	Africa/Luanda
2243458	Buco Zau	-4.76667	12.55	AO	Africa/Luanda
2243646	Belize	-4.65	12.76667	AO	Africa/Luanda
2243677	Barra do Dande	-8.47175	13.37011	AO	Africa/Luanda
2243866	Bailundo	-9.57499	15.99442	AO	Africa/Luanda
2591933	Gama	-8.5675	13.47639	AO	Africa/Luanda
3345492	Xangongo	-16.7444	14.97494	AO	Africa/Luanda
3345495	Alto Hama	-12.23333	15.55	AO	Africa/Luanda
3345517	Virei	-15.727	12.94961	AO	Africa/Luanda
3345668	Ucuma	-12.96121	15.05958	AO	Africa/Luanda
3345669	Ucu Seles	-11.41237	14.30663	AO	Africa/Luanda
3345790	Tombua	-15.80394	11.84485	AO	Africa/Luanda
3346015	Sumbe	-11.20605	13.84371	AO	Africa/Luanda
3346497	Quipungo	-14.81909	14.53504	AO	Africa/Luanda
3346598	Quibala	-10.73366	14.97995	AO	Africa/Luanda
3346661	Porto Amboim	-10.73251	13.76844	AO	Africa/Luanda
3346821	Ondjiva	-17.06667	15.73333	AO	Africa/Luanda
3346942	Nharea	-11.47512	16.96496	AO	Africa/Luanda
3347019	Mossamedes	-15.19611	12.15222	AO	Africa/Luanda
3347111	Mungo	-11.83268	16.23613	AO	Africa/Luanda
3347353	Menongue	-14.6585	17.69099	AO	Africa/Luanda
3347424	Matala	-14.73272	15.03479	AO	Africa/Luanda
3347615	Luquembo	-10.73912	17.71766	AO	Africa/Luanda
3347719	Luena	-11.78333	19.91667	AO	Africa/Luanda
3347762	Lubango	-14.91717	13.4925	AO	Africa/Luanda
3347853	Longonjo	-12.90795	15.24845	AO	Africa/Luanda
3347880	Londuimbali	-12.23712	15.31697	AO	Africa/Luanda
3347939	Lobito	-12.3644	13.53601	AO	Africa/Luanda
3348078	Cuito	-12.38333	16.93333	AO	Africa/Luanda
3348094	Catchiungo	-12.56598	16.22589	AO	Africa/Luanda
3348313	Huambo	-12.77611	15.73917	AO	Africa/Luanda
3348581	Ganda	-13.01592	14.63502	AO	Africa/Luanda
3348613	Gabela	-10.85147	14.37993	AO	Africa/Luanda
3348896	Dombe Grande	-12.95167	13.1025	AO	Africa/Luanda
3349181	Cuemba	-12.15	18.08333	AO	Africa/Luanda
3349229	Cubal	-13.03865	14.2455	AO	Africa/Luanda
3349324	Conda	-11.10862	14.33621	AO	Africa/Luanda
3349515	Chitembo	-13.55	16.63333	AO	Africa/Luanda
3349723	Chinguar	-12.55708	16.33805	AO	Africa/Luanda
3350123	Cela	-11.42173	15.12345	AO	Africa/Luanda
3350246	Catumbela	-12.43002	13.54677	AO	Africa/Luanda
3350372	Catabola	-12.15	17.28333	AO	Africa/Luanda
3350550	Capunda	-11.13333	14.46667	AO	Africa/Luanda
3350867	Camucuio	-14.11667	13.25	AO	Africa/Luanda
3350917	Cambundi Catembo	-10.07531	17.55058	AO	Africa/Luanda
3351014	Camacupa	-12.01667	17.48333	AO	Africa/Luanda
3351023	Caluquembe	-13.86667	14.43333	AO	Africa/Luanda
3351064	Calulo	-10.00055	14.89519	AO	Africa/Luanda
3351500	Caala	-12.8525	15.56056	AO	Africa/Luanda
3351599	Bocoio	-12.47017	14.13688	AO	Africa/Luanda
3351663	Benguela	-12.57626	13.40547	AO	Africa/Luanda
3351764	Balombo	-12.35426	14.77232	AO	Africa/Luanda
3351786	Baia Farta	-12.60417	13.19667	AO	Africa/Luanda
3351884	Andulo	-11.48676	16.69663	AO	Africa/Luanda
7745410	Cambundi	-7.46856	17.03769	AO	Africa/Luanda
7768322	Cafunfo	-8.7672	17.99572	AO	Africa/Luanda
7855993	Santa Clara	-10.19156	15.43408	AO	Africa/Luanda
7860624	Quissecula	-11.39223	15.09201	AO	Africa/Luanda
7900710	Cambundi	-10.89481	17.76402	AO	Africa/Luanda
3427213	Zarate	-34.09584	-59.02423	AR	America/Argentina/Buenos_Aires
3427327	Colonia Wanda	-25.97337	-54.56304	AR	America/Argentina/Cordoba
3427387	Villa Ortuzar	-34.57973	-58.46829	AR	America/Argentina/Buenos_Aires
3427388	Villa Ocampo	-28.48689	-59.35423	AR	America/Argentina/Cordoba
3427408	Villa Lugano	-34.67907	-58.47263	AR	America/Argentina/Buenos_Aires
3427428	Villaguay	-31.86767	-59.02701	AR	America/Argentina/Cordoba
3427431	Villa Gesell	-37.26394	-56.97304	AR	America/Argentina/Buenos_Aires
3427453	Villa de Mayo	-34.5108	-58.68059	AR	America/Argentina/Buenos_Aires
3427687	Tortuguitas	-34.47513	-58.75367	AR	America/Argentina/Buenos_Aires
3427761	Tigre	-34.42603	-58.57962	AR	America/Argentina/Buenos_Aires
3427833	Tandil	-37.3287	-59.1369	AR	America/Argentina/Buenos_Aires
3428068	San Vicente	-26.61667	-54.13333	AR	America/Argentina/Cordoba
3428071	Santo Tome	-28.55104	-56.04125	AR	America/Argentina/Cordoba
3428075	Santos Lugares	-34.60306	-58.54074	AR	America/Argentina/Buenos_Aires
3428359	Santa Elena	-30.94432	-59.78832	AR	America/Argentina/Cordoba
3428576	San Pedro	-33.67918	-59.66633	AR	America/Argentina/Buenos_Aires
3428577	San Pedro	-26.6218	-54.10902	AR	America/Argentina/Cordoba
3428708	San Luis del Palmar	-27.50766	-58.55625	AR	America/Argentina/Cordoba
3428759	San Lorenzo	-28.13442	-58.76685	AR	America/Argentina/Cordoba
3428975	San Javier	-30.57781	-59.9317	AR	America/Argentina/Cordoba
3428992	San Isidro	-34.46971	-58.52111	AR	America/Argentina/Buenos_Aires
3429403	Saladas	-28.25504	-58.62386	AR	America/Argentina/Cordoba
3429576	Retiro	-34.58333	-58.38333	AR	America/Argentina/Buenos_Aires
3429577	Resistencia	-27.46056	-58.98389	AR	America/Argentina/Cordoba
3429594	Reconquista	-29.15	-59.65	AR	America/Argentina/Cordoba
3429652	Quilmes	-34.72065	-58.25454	AR	America/Argentina/Buenos_Aires
3429732	Puerto Rico	-26.8089	-55.02147	AR	America/Argentina/Cordoba
3429777	Puerto Iguazu	-25.59912	-54.57355	AR	America/Argentina/Cordoba
3429786	Puerto Esperanza	-26.02267	-54.61356	AR	America/Argentina/Cordoba
3429790	Puerto Eldorado	-26.40843	-54.69463	AR	America/Argentina/Cordoba
3429886	Posadas	-27.36708	-55.89608	AR	America/Argentina/Cordoba
3429902	Pontevedra	-34.74947	-58.70158	AR	America/Argentina/Buenos_Aires
3429949	Pirane	-25.73271	-59.10989	AR	America/Argentina/Cordoba
3429980	Pilar	-34.45867	-58.91398	AR	America/Argentina/Buenos_Aires
3430104	Paso de los Libres	-29.71251	-57.08771	AR	America/Argentina/Cordoba
3430340	Obera	-27.48683	-55.11994	AR	America/Argentina/Cordoba
3430443	Necochea	-38.5545	-58.73961	AR	America/Argentina/Buenos_Aires
3430513	Muniz	-34.55622	-58.70739	AR	America/Argentina/Buenos_Aires
3430545	Moron	-34.65118	-58.62205	AR	America/Argentina/Buenos_Aires
3430598	Monte Caseros	-30.2518	-57.63537	AR	America/Argentina/Cordoba
3430601	Montecarlo	-26.56849	-54.7579	AR	America/Argentina/Cordoba
3430697	Merlo	-34.66536	-58.72744	AR	America/Argentina/Buenos_Aires
3430708	Mercedes	-34.65072	-59.43143	AR	America/Argentina/Buenos_Aires
